name_key,display_name,state,latitude,longitude,population
ACTONIA,Acton,MA,42.48509,-71.43284,20897
ACUSHENA,Acushnet,MA,41.68066,-70.90782,10850
ACUSHNET,Acushnet,MA,41.68066,-70.90782,10850
ACUSHNET CENTER,Acushnet Center,MA,41.68508,-70.90642,3073
ACUSHNET VILLAGE,New Bedford,MA,41.63526,-70.92701,101079
ACV,Arcata,CA,40.86652,-124.08284,17843
ACWORTH,Acworth,GA,34.06635,-84.67837,22131
ACWORTH,Acworth,NH,43.21785,-72.29203,890
ACY,Atlantic City,NJ,39.36415,-74.42306,39260
ADA,Ada,MN,47.29969,-96.51535,1656
ADA,Ada,OH,40.76950,-83.82271,5811
ADA,Ada,OK,34.77453,-96.67834,17303
ADA,Brookings,SD,44.31136,-96.79839,23657
ADA AWHAYW,Ada,OH,40.76950,-83.82271,5811
ADAIR,Adair,IA,41.50054,-94.64359,728
ADAIR,Adair,IL,40.41893,-90.49679,210
ADAIR,Adair,OK,36.43676,-95.27136,819
ADAIR VILLAGE,Adair Village,OR,44.67068,-123.21788,818
ADAIRSVILLE,Adairsville,GA,34.36870,-84.93411,4778
ADAIRVILLE,Adairville,KY,36.66754,-86.85194,889
ADAK,Adak,AK,51.87395,-176.63402,332
ADAM'S STATION,Delmar,NY,42.62202,-73.83262,8195
ADAMS,Adams,MA,42.62425,-73.11760,5515
ADAMS,Adams,MN,43.56524,-92.71935,779
ADAMS,Adams,NE,40.45944,-96.51002,596
ADAMS,Adams,NY,43.80923,-76.02409,1829
ADAMS,Adams,OR,45.76735,-118.56247,348
ADAMS,Adams,TN,36.58227,-87.06556,656
ADAMS,Adams,WI,43.95608,-89.81818,1893
ADAMS CENTER,Adams Center,NY,43.86006,-76.00548,1568
ADAMS MORGAN,Adams Morgan,DC,38.92150,-77.04220,15830
ADAMS STATION,Delmar,NY,42.62202,-73.83262,8195
ADAMSTOWN,Adamstown,MD,39.31094,-77.47471,2372
ADAMSTOWN,Pleasantville,NJ,39.38984,-74.52404,20755
ADAMSTOWN,Adamstown,PA,40.24120,-76.05633,1840
ADAMSVILLE,Adamsville,AL,33.60094,-86.95611,4400
ADAMSVILLE,Tremont,NY,40.84954,-73.90569,22870
ADAMSVILLE,Adamsville,TN,35.23591,-88.39060,2239
ADAMZ,Adams,MA,42.62425,-73.11760,5515
ADAMZ MWRGAN,Adams Morgan,DC,38.92150,-77.04220,15830
ADAMZ MWRQAN,Adams Morgan,DC,38.92150,-77.04220,15830
ADAVEN,Boulder City,NV,35.97859,-114.83249,15551
ADDIEVILLE,Addieville,IL,38.39144,-89.49009,243
ADDIS,Addis,LA,30.35380,-91.26539,4589
ADDISON,Addison,AL,34.20232,-87.18140,741
ADDISON,Addison,IL,41.93170,-87.98896,37208
ADDISON,Addison,ME,44.61841,-67.74416,1257
ADDISON,Addison,MI,41.98643,-84.34717,594
ADDISON,Addison,NY,42.10285,-77.23359,1716
ADDISON,Addison,PA,39.74730,-79.33920,201
ADDISON,Addison,TX,32.96179,-96.82917,15518
ADDISON,Addison,VT,44.08867,-73.30262,1361
ADDISON,Addison,WI,43.42278,-88.37454,3439
ADDY,Addy,WA,48.35601,-117.83747,268
ADDYSTON,Addyston,OH,39.13672,-84.70911,931
ADEL,Adel,GA,31.13727,-83.42408,5316
ADEL,Adel,IA,41.61443,-94.01745,4245
ADEL'FI,Adelphi,MD,39.00317,-76.97192,15086
ADELANTO,Adelanto,CA,34.58277,-117.40922,33166
ADELFI,Adelphi,MD,39.00317,-76.97192,15086
ADELINO,Adelino,NM,34.71589,-106.73114,823
ADELL,Adell,WI,43.61916,-87.95204,521
ADELLANTO,Adelanto,CA,34.58277,-117.40922,33166
ADELPHI,Arkansas City,KS,37.06197,-97.03837,12136
ADELPHI,Adelphi,MD,39.00317,-76.97192,15086
ADELPHI,Adelphi,OH,39.46673,-82.74711,374
ADELPHIA,Marietta,OH,39.41535,-81.45484,13900
ADEN'AKEDO,Arden-Arcade,CA,38.60250,-121.37854,92186
ADENA,Adena,OH,40.21868,-80.87287,730
ADENHIRUZU,Arden Hills,MN,45.05024,-93.15661,9951
ADERU,Adel,GA,31.13727,-83.42408,5316
ADERUFI,Adelphi,MD,39.00317,-76.97192,15086
ADG,Adrian,MI,41.89755,-84.03717,20691
ADGWATR MRYLND,Mayo,MD,38.88761,-76.51190,8298
ADIN,Adin,CA,41.19378,-120.94524,272
ADISON,Addison,IL,41.93170,-87.98896,37208
ADISON,Addison,TX,32.96179,-96.82917,15518
ADJMWNT,Greenville,NY,40.99315,-73.81986,7116
ADJWATR KWLWRADW,Edgewater,CO,39.75304,-105.06415,5302
ADL,Adel,GA,31.13727,-83.42408,5316
ADL JWRJYA,Adel,GA,31.13727,-83.42408,5316
ADLANTW KALYFRNYA,Adelanto,CA,34.58277,-117.40922,33166
ADLFY,Adelphi,MD,39.00317,-76.97192,15086
ADLFY MRYLND,Adelphi,MD,39.00317,-76.97192,15086
ADM,Ardmore,OK,34.17426,-97.14363,25176
ADMND AKLAHMA,Edmond,OK,35.65283,-97.47810,90092
ADMWND,Edmond,OK,35.65283,-97.47810,90092
ADMWNDZ,Edmonds,WA,47.81065,-122.37736,41375
ADMWNDZ WASHYNGTN,Edmonds,WA,47.81065,-122.37736,41375
ADMWR,Ardmore,OK,34.17426,-97.14363,25176
ADMZ MASACHWST,Adams,MA,42.62425,-73.11760,5515
ADMZ SHMALY MASACHWST,North Adams,MA,42.70092,-73.10871,13263
ADNA,Edna,TX,28.97859,-96.64609,5792
ADNA TGZAS,Edna,TX,28.97859,-96.64609,5792
ADONA,Adona,AR,35.03814,-92.89795,204
ADQ,Kodiak,AK,57.78852,-152.40533,6253
ADRIAN,Adrian,GA,32.53072,-82.58930,657
ADRIAN,Adrian,MI,41.89755,-84.03717,20691
ADRIAN,Adrian,MN,43.63497,-95.93280,1220
ADRIAN,Adrian,MO,38.39752,-94.35162,1622
ADRYAN,Adrian,MI,41.89755,-84.03717,20691
ADRYAN MYSHYGAN,Adrian,MI,41.89755,-84.03717,20691
ADS,Addison,TX,32.96179,-96.82917,15518
ADT,Ada,OK,34.77453,-96.67834,17303
ADURTUN,Atherton,CA,37.46133,-122.19774,7167
ADVANCE,Advance,IN,39.99588,-86.62000,511
ADVANCE,Advance,MI,45.22140,-85.07756,328
ADVANCE,Advance,MO,37.10455,-89.90953,1366
ADVANCE,Advance,NC,35.94125,-80.40922,1138
ADVENTURA,Aventura,FL,25.95648,-80.13921,37649
ADW,Camp Springs,MD,38.80400,-76.90664,19096
ADWARDZ,Edwards,CO,39.64499,-106.59420,10266
ADWARDZ KWLWRADW,Edwards,CO,39.64499,-106.59420,10266
ADWARDZWYL AYLYNWY,Edwardsville,IL,38.81144,-89.95316,24992
ADWOLF,Adwolf,VA,36.78928,-81.58206,1530
ADWRDSFYL,Edwardsville,IL,38.81144,-89.95316,24992
ADYLANTW,Adelanto,CA,34.58277,-117.40922,33166
ADYLWWD,Idylwood,VA,38.89511,-77.21165,17288
ADYLWWD WYRJYNYA,Idylwood,VA,38.89511,-77.21165,17288
ADYNA,Edina,MN,44.88969,-93.34995,50138
ADYNBRG TGZAS,Edinburg,TX,26.30174,-98.16334,84497
ADYNBWRGH,Edinburg,TX,26.30174,-98.16334,84497
ADYSWN,Addison,IL,41.93170,-87.98896,37208
ADYSWN,Addison,TX,32.96179,-96.82917,15518
ADYSWN AYLYNWAS,Addison,IL,41.93170,-87.98896,37208
ADYSWN NYWJRSY,Edison,NJ,40.51872,-74.41210,102548
ADYSWN RWD,Eidson Road,TX,28.67720,-100.48702,8960
ADYSWN RWD TKZAS,Eidson Road,TX,28.67720,-100.48702,8960
ADYSWN TGZAS,Addison,TX,32.96179,-96.82917,15518
AEBEODIN,Aberdeen,MD,39.50956,-76.16412,15580
AEBEODIN,Aberdeen,MS,33.82511,-88.54366,5397
AEBEODIN,Aberdeen,SD,45.46470,-98.48648,28102
AEBEODIN,Aberdeen,WA,46.97537,-123.81572,16276
AEBEONTULA,Aventura,FL,25.95648,-80.13921,37649
AEBIBIL,Abbeville,LA,29.97465,-92.13429,12434
AEBIBIL,Abbeville,SC,34.17817,-82.37901,5191
AEBILLIN,Abilene,KS,38.91722,-97.21391,6558
AEBILLIN,Abilene,TX,32.44874,-99.73314,125182
AEBINGDEON,Abingdon,VA,36.70983,-81.97735,8119
AEBURA,New York City,NY,40.71427,-74.00597,8804190
AEJEUBELIPAKEU,Asbury Park,NJ,40.22039,-74.01208,15818
AEKEULEON,Akron,OH,41.08144,-81.51901,197542
AEL,Albert Lea,MN,43.64801,-93.36827,17674
AELBEOKEOKI,Albuquerque,NM,35.08449,-106.65114,564559
AELLAMOGODO,Alamogordo,NM,32.89953,-105.96027,30753
AELLEOMIDA,Alameda,CA,37.77099,-122.26087,78630
AELLEON,Allen,TX,33.10317,-96.67055,98143
AELLEONTAUN,Allentown,PA,40.60843,-75.49018,120207
AELTUNA,Altoona,PA,40.51868,-78.39474,45344
AEMEOLILLO,Amarillo,TX,35.22200,-101.83130,198645
AEMEOSEUTEU,Amherst,MA,42.36723,-72.51852,39833
AEMSEUTEODAEM,Amsterdam,NY,42.93869,-74.18819,18008
AEN-ABEO,Ann Arbor,MI,42.27756,-83.74088,117070
AENA ARBARA,Ann Arbor,MI,42.27756,-83.74088,117070
AENDEOSEUN,Anderson,IN,40.10532,-85.68025,55305
AENDEOSEUN,Anderson,SC,34.50344,-82.65013,27335
AENDEULUSEU,Andrews,TX,32.31872,-102.54572,13816
AENDOBEO,Andover,MA,42.65843,-71.13700,8762
AENEOHAIM,Anaheim,CA,33.83529,-117.91450,350742
AENGKEOLIJI,Anchorage,AK,61.21806,-149.90028,289600
